Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
500 genes up-regulated by SARS-CoV-2 in human Calu3 cells at 4h from GSE148729 mock s2 polyA	15/486	0.006320506103442646	0.2378808660750232	0	0	2.1719293490536207	10.998554646490234	PLK4;SMG1;BMPR2;DAPK1;MST1;DYRK1A;BRAF;HIPK3;LATS1;CDK6;WNK1;ULK1;PKN2;PAK2;ATR
Top 500 down genes for SARS-CoV-2 infection Day 2 in ferret right caudal lung from GSE160824	14/455	0.008410567065301345	0.28352840917857014	0	0	2.160749340961355	10.32463593101995	GSK3B;CDKL5;BMPR2;BRAF;HIPK1;CLK4;ACVR2B;HIPK3;LATS1;CDK6;AKT3;AAK1;ATM;PKN2
SARS coronavirus nucleocapsid protein (gene: N) from Virus-Host PPI P-HIPSTer 2020	3/29	0.008903065988699062	0.28352840917857014	0	0	7.722527472527473	36.46082897508127	GSK3B;CDK2;ATM
Top 500 down genes for SARS-CoV-2 infection in Rhesus macaques at Group 1 dose in PBMCs at 2 DPI from GSE156701	14/467	0.010409253977606898	0.30781651048066117	0	0	2.1022004851831917	9.596671479198582	SRPK2;CDK19;GSK3A;NEK7;MOK;CLK4;TGFBR1;CLK1;DSTYK;MAP3K15;SNRK;CDK6;AKT2;ULK1
Top 500 down genes for SARS-CoV-2 middle-stage infection in human male blood from GSE161731	14/498	0.017312183881880487	0.41863243972236186	0	0	1.9643868819904797	7.968230425025755	SMG1;LRRK2;DYRK1A;IRAK4;CLK4;HIPK3;CLK1;LATS1;SLK;CDK6;ATM;PKN2;MAPKAPK5;ATR
40 SARS-CoV-2 host factor genes from genome-wide CRISPR screen in Huh7 cells from Baggen et al.	3/37	0.017358259420708476	0.41863243972236186	0	0	5.903061224489796	23.929161592932623	DSTYK;PINK1;MAPKAPK3
Top 500 down genes for SARS-CoV-2 infection in Mesocricetus auratus hamster blood Day 14 from GSE162208	12/404	0.018142185897146806	0.41863243972236186	0	0	2.0742212674543503	8.316621990533497	DSTYK;BMPR2;DAPK1;PRKD3;LRRK2;ULK1;CDK12;SGK1;HIPK1;CDK14;HIPK3;TTBK2
SARS-CoV perturbation; Up Genes from GEN3VA; Human bronchial epithelial 2B4 cells; Accession: GSE17400 Platform: GPL570; Entry 1	8/222	0.018201410422711384	0.41863243972236186	0	0	2.5209714452026	10.099657462572862	GRK1;PLK1;PBK;CDK1;PRKD2;NEK2;PIM3;MASTL
Top 500 down genes for SARS-CoV-2 infection in Rhesus macaques at Group 2 dose in PBMCs at 4 DPI from GSE156701	13/456	0.01931043295063184	0.4207641706085043	0	0	1.9901122309477632	7.855191413722068	CDK19;CDKL5;NEK6;LRRK2;MOK;CDC7;TGFBR1;CAMKK2;PAK1;MAP3K15;AKT3;ULK1;RAF1
277 proteins down-regualated at 0h in SARS-CoV-2 infected cells from Bouhaddou et al. 2020	9/271	0.02039834831135779	0.42224581004510625	0	0	2.3188215648854964	9.025552299388275	NEK9;GSK3A;BMPR2;PLK1;PBK;AAK1;AKT1;CDK13;MARK2
Top 500 upregulated genes in mouse D2 cardiomyocytes with SARS-CoV-2 infection from GEO GSE162113	13/477	0.026640067651233803	0.5152009461404257	0	0	1.8979707989315202	6.880787356762638	PLK3;PLK2;DYRK1A;BRAF;CLK4;CLK1;LATS1;NUAK1;NUAK2;LATS2;PIM1;PRKD2;SGK1
197 proteins down-regualated at 4h in SARS-CoV-2 infected cells from Bouhaddou et al. 2020	7/196	0.02746213052329064	0.5152009461404257	0	0	2.4922094508301407	8.95936162439548	NEK9;GSK3B;BMPR2;PBK;AAK1;ULK1;BUB1
Top 500 down genes for SARS-CoV-2 infection Day 21 in ferret nasal turbinates from GSE160824	11/383	0.028622274785579205	0.5152009461404257	0	0	1.9986559139784945	7.10236374747641	CDK17;CDK8;SNRK;RIPK2;PLK2;LRRK2;PRKD1;CLK4;TGFBR1;CAMK1G;ATR
100 gene most correlated to LDLRAD4 based on ARCHS4 co-expression	4/80	0.03128002531625186	0.5395804367053446	0	0	3.525597269624573	12.215403232911326	NUAK1;DYRK2;TGFBR1;TGFBR2
COVID19-Nsp12 protein host PPI from Krogan	2/20	0.0350191918236849	0.5799178166002219	0	0	7.414312617702448	24.851730698558228	BCKDK;RIPK1
Top 500 down genes for SARS-CoV-2 infection in Rhesus macaques at Group 1 dose in PBMCs at 1 DPI from GSE156701	12/454	0.03945943685680677	0.6283156484122309	0	0	1.8348178137651823	5.931015647522804	PLK4;SMG1;GSK3A;CDK6;DYRK2;AKT2;PLK2;CAMK4;ATM;MAPKAPK5;TTK;ACVR2B
Top 500 up genes for SARS-CoV-2 infection 48 hpi in human alveolar organoids for GSE152586	12/460	0.04286617374193921	0.6546587345529908	0	0	1.8096804511278195	5.699900307214603	CDK17;CLK1;CDK18;TBK1;NUAK2;DAPK2;TLK2;PRKD2;RIPK1;PIM2;MARK2;BMPR1A
464 genes up-regulated by SARS-CoV-2 infection in Vero E6 cells from GSE153940	11/412	0.04463583530049144	0.6546587345529908	0	0	1.8513332054479186	5.756199008650963	NUAK1;NUAK2;PLK2;DAPK3;GRK6;PIM1;PIM3;CDK13;MARK3;MARK2;TGFBR2
500 genes up-regulated by MERS-CoV in Calu-3 cells from GSE139516 6h	12/465	0.04585773744453318	0.6546587345529908	0	0	1.7892413152085511	5.514819869784419	DSTYK;SNRK;CDK6;DYRK2;LATS2;DAPK1;PLK2;DYRK1A;TLK1;CDK13;HIPK1;HIPK3
Top 500 upregulated genes in mouse spleen with SARS-CoV-2 infection (Day 7) from GEO GSE162113	11/425	0.053499505490922056	0.7160778856792017	0	0	1.7919918246005202	5.24710056171639	GRK3;LATS2;IRAK1;DYRK1B;ULK1;PKN1;MARK4;TTBK1;CDK16;HIPK2;CLK2
500 genes up regulated by MERS infection of Calu3 cells	12/477	0.053619358589505436	0.7160778856792017	0	0	1.7419807583474816	5.096765880731084	LATS1;GSK3B;SNRK;NUAK2;PLK2;MOK;PIM3;CDK12;TNIK;RAF1;MARK3;TGFBR2
500 genes up-regulated by MERS-CoV in Calu-3 cells from GSE122876	12/485	0.05926214543033594	0.7667040065049713	0	0	1.7118059419161011	4.83719475554661	CLK1;LATS1;GSK3B;SMG1;SNRK;NUAK2;PLK2;MOK;DYRK1A;PIM3;CDK12;MTOR
500 genes down-regulated by SARS-CoV-2 in human hiPSC-CMs cells at 24h from GSE150392	12/488	0.06147680414796595	0.7712544520381183	0	0	1.700751879699248	4.743559148358336	PLK4;CAMK2B;SRPK3;STK33;DAPK2;PLK1;CAMK2A;PBK;CDK1;NEK2;TTK;PDK1
500 top upregulated genes for SARS-CoV-2 infection vs. mock from GSE161881	12/495	0.06685636265695637	0.8140745335288216	0	0	1.6754930805274055	4.532558628879504	CLK1;NUAK1;NUAK2;PLK2;PIM1;DYRK1A;TLK2;PIM3;CDK12;MARK4;CLK4;MARK2
Top 500 down genes for SARS-CoV-2 infection Day 14 in ferret right caudal lung from GSE160824	11/455	0.07825232497962895	0.9256132154733253	0	0	1.6683125433125434	4.250554621739295	CDK17;LATS1;GSK3B;NUAK1;SLK;CDK6;BMPR2;LATS2;CDK14;TGFBR1;TTBK2
Top 500 up genes for SARS-CoV-2 infection in Rhesus macaques at Group 1 dose in PBMCs at 14 DPI from GSE156701	11/460	0.08297883838357187	0.9392766984832501	0	0	1.6493061504197362	4.105402834504125	CDK17;GSK3B;PINK1;WNK1;ROCK2;PRKD2;PAK3;HIPK1;MARK3;CLK3;HIPK2
500 genes up-regulated by SARS-CoV-2 in human cardiomyocytes from GSE150392	11/461	0.08394501894657067	0.9392766984832501	0	0	1.6455555555555557	4.077017305335968	CLK1;PLK3;NUAK1;NUAK2;WNK4;PIM1;PRKD2;PIM3;SGK1;BMPR1B;CLK4
500 genes down-regulated by SARS-CoV-2 in human cardiomyocytes from GSE150392	10/410	0.08641965269698428	0.9415193741197762	0	0	1.6814459930313588	4.1170880530274	CAMK2B;SRPK3;STK33;DAPK2;PLK1;CAMK2A;PBK;CDK1;NEK2;PDK1
Top 500 down genes for SARS-CoV-2 infection Day 7 in ferret right cranial lung from GSE160824	10/421	0.09848700062215118	0.9994686430975551	0	0	1.635511245623405	3.790838196387034	GSK3B;NUAK1;DAPK2;AKT3;WNK3;HUNK;BRAF;CDK14;ACVR2B;CAMK1G
500 genes down-regulated by SARS-CoV-2 in human H1299 cells at 4h from GSE148729 untreated	11/482	0.10584464865603495	0.9994686430975551	0	0	1.5704719908541565	3.5269390455585956	CLK1;CDK19;CDK6;AKT3;NEK7;PIM1;CDK10;ATM;TTK;PRKD1;ACVR2B
500 genes up-regulated by SARS-CoV-2 in human hiPSC-CMs cells at 24h from GSE150392	11/490	0.11499235871735797	0.9994686430975551	0	0	1.5436004496547293	3.338637357203384	CLK1;PLK3;NUAK1;NUAK2;WNK4;PIM1;PRKD2;PIM3;SGK1;BMPR1B;CLK4
Top 500 up genes for COVID-19 severe disease in human NK cells from GSE165461	11/495	0.1209326563602627	0.9994686430975551	0	0	1.527256834075016	3.226362817561645	CLK1;LATS1;SMG1;MAPKAPK2;MOK;AAK1;ULK1;BRAF;PIM3;SGK1;CDK16
Top 500 down genes for SARS-CoV-2 late-stage infection in human male blood from GSE161731	11/496	0.122141145713193	0.9994686430975551	0	0	1.5240285487708167	3.2043888536738665	CLK1;SMG1;TBK1;SLK;ROCK2;LRRK2;ATM;PKN2;IRAK4;CLK4;TGFBR1
500 genes down-regulated by SARS-CoV-2 in human A549 cells from GSE147507 Series2	11/497	0.12335641561690826	0.9994686430975551	0	0	1.5208135485913263	3.182572182098011	PLK3;SRPK3;SMG1;PINK1;IRAK1;WNK1;CDK4;CDK10;DYRK1B;ULK1;CAMKK1
SARS coronavirus RNA-dependent RNA polymerase (gene: orf1ab) from Virus-Host PPI P-HIPSTer 2020	1/9	0.12600360489617896	0.9994686430975551	0	0	8.31714527027027	17.228507006165213	CDK2
500 genes down-regulated by MHV-A59 in murine spleen cells from GSE146074 5d	10/448	0.1320767704207768	0.9994686430975551	0	0	1.5325441904125499	3.102439442638886	CLK1;SMG1;GRK2;WNK1;LRRK2;MAPKAPK2;GRK6;PKN1;HIPK1;JAK1
Top 500 upregulated genes in mouse lung with SARS-CoV-2 infection (Day 7) from GEO GSE162113	10/448	0.1320767704207768	0.9994686430975551	0	0	1.5325441904125499	3.102439442638886	CDK9;CDK18;PLK3;WNK4;DYRK1B;ULK1;PKN1;MARK4;MARK2;CLK2
500 down regulated genes in A549 cells infected with COVID-19 extracted from GSE147507	10/456	0.14308283243831643	0.9994686430975551	0	0	1.5044296182872143	2.9251099995743295	PLK3;SRPK3;PINK1;IRAK1;WNK1;CDK4;CDK10;DYRK1B;ULK1;CAMKK1
500 genes down-regulated by SARS-CoV-2 (0.2 MOI) in human A549 cells from GSE147507	10/456	0.14308283243831643	0.9994686430975551	0	0	1.5044296182872143	2.9251099995743295	PLK3;SRPK3;PINK1;IRAK1;WNK1;CDK4;CDK10;DYRK1B;ULK1;CAMKK1
Top 500 down genes for SARS-CoV-2 infection in Rhesus macaques at Group 2 dose in PBMCs at 7 DPI from GSE156701	10/461	0.15019711242741718	0.9994686430975551	0	0	1.4873645093752172	2.81975569842987	SRPK2;PLK3;PAK1;CDKL5;IRAK1;NEK6;AKT3;AKT1;MARK2;CAMKK2
Top 500 down genes for SARS-CoV-2 infection Day 21 in ferret right caudal lung from GSE160824	10/462	0.1516413371976537	0.9994686430975551	0	0	1.4839967931916993	2.7991699116787285	LATS1;GSK3B;CDK6;LATS2;WNK1;AAK1;BRAF;ACVR2B;TTBK2;TGFBR2
Top 500 down genes for SARS-CoV-2 infection Day 2 in ferret nasal turbinates from GSE160824	9/406	0.1521060163961843	0.9994686430975551	0	0	1.5196788413098237	2.8618250391251667	CDK8;CDKL5;DAPK2;PLK2;LRRK2;PRKD1;CLK4;CAMK1G;ATR
Top 500 down genes for SARS-CoV-2 infection in Mesocricetus auratus hamster blood Day 3 from GSE162208	9/407	0.15366208877512563	0.9994686430975551	0	0	1.5157820351758795	2.839058715314761	CDK6;DYRK2;ULK2;ULK1;BRAF;ATM;CDK12;CAMK2G;CAMKK2
Top 500 down genes for SARS-CoV-2 infection Day 7 in ferret nasal turbinates from GSE160824	8/352	0.15482959332900234	0.9994686430975551	0	0	1.557817655105818	2.9060000449700216	CDK8;CDKL5;WNK3;PRKD1;CDK14;CLK4;CAMK1G;MARK1
500 genes down-regulated by SARS-CoV-2 in A549-ACE2 cells from GSE154613 loperamide	10/467	0.15896772554986768	0.9994686430975551	0	0	1.4673792877347343	2.698589867966255	PLK4;BCKDK;GSK3A;MELK;PKN3;AKT2;PLK1;CDK2;AKT1;PASK
500 genes down-regulated by SARS-CoV-2 in A549-ACE2 cells from GSE154613 amlodipine	10/470	0.1634466757118998	0.9994686430975551	0	0	1.4575821845174974	2.640072674058276	IRAK1;PKN3;AKT2;DAPK3;PLK1;AKT1;FAM20C;DYRK1B;PKN1;PAK4
Top 500 down genes for SARS-CoV-2 infection in Rhesus macaques at Group 2 dose in PBMCs at 10 DPI from GSE156701	10/470	0.1634466757118998	0.9994686430975551	0	0	1.4575821845174974	2.640072674058276	SMG1;NUAK2;BMPR2;CAMK1D;NEK4;WNK3;DYRK1B;MARK4;HIPK3;MARK2
Top 500 up genes for SARS-CoV-2 infection in Rhesus macaques at Group 1 dose in Bronchoalveolar Lavage at 4 DPI from GSE156701	10/476	0.17258753815011385	0.9994686430975551	0	0	1.4383664069626594	2.52699503423919	CDK17;PLK4;SRPK3;NUAK2;RIPK3;IRAK1;RAF1;BUB1;HIPK3;TGFBR1
SARS coronavirus nsp9-pp1a/pp1ab (gene: orf1ab) from Virus-Host PPI P-HIPSTer 2020	1/13	0.17679998162123364	0.9994686430975551	0	0	5.543637387387387	9.605661362247778	ATM
436 genes up-regulated by SARS-CoV-2 in ferret trachea from GSE147507	9/425	0.18297712344427777	0.9994686430975551	0	0	1.4488431490384615	2.4607067176646376	PLK4;CDK8;DSTYK;NEK2;TTK;HIPK1;BMPR1B;HIPK3;TGFBR1
SARS coronavirus P2 envelope protein from Virus-Host PPI P-HIPSTer 2020	1/14	0.18903243556506683	0.9994686430975551	0	0	5.116943866943867	8.52399269044241	CDK2
SARS coronavirus protein E (gene: E) from Virus-Host PPI P-HIPSTer 2020	1/14	0.18903243556506683	0.9994686430975551	0	0	5.116943866943867	8.52399269044241	CDK2
500 genes up-regulated by SARS-CoV-2 in human H1299 cells at 4h from GSE148729 mock	10/488	0.1915746134563901	0.9994686430975551	0	0	1.4013820652253146	2.3157529200473683	NUAK1;CDK7;NUAK2;LATS2;ROCK2;PLK2;CDK3;TLK1;CDK13;RAF1
Top 500 up genes for SARS-CoV-2 infection Day 14 in ferret nasal turbinates from GSE160824	8/373	0.1922425057254808	0.9994686430975551	0	0	1.4665971465137224	2.418415252905743	STK33;ULK2;PRKX;NEK2;PIM2;PAK3;ACVR2B;HIPK2
500 genes up-regulated by SARS-CoV-2 in human Caco2 cells at 24h from GSE148729	10/489	0.19319778277099697	0.9994686430975551	0	0	1.3983836826140406	2.2989998752716447	CLK1;LATS1;PLK3;NUAK2;LATS2;PLK2;WNK4;DYRK1A;PIM3;CLK3
SARS-CoV perturbation; 291 Down Genes from GEN3VA; Human bronchial epithelial 2B4 cells; Accession: GSE17400 Platform: GPL570; Entry 2	6/263	0.19790309934762565	0.9994686430975551	0	0	1.5601107144289783	2.527344668805781	SMG1;MELK;PBK;CDC7;VRK1;MASTL
Top 500 up genes for COVID-19 mild disease in human NK cells from GSE165461	10/494	0.20140446502328097	0.9994686430975551	0	0	1.3835776197195266	2.2171002994477114	CDK17;CLK1;LATS1;MAPKAPK2;ULK1;BRAF;PKN2;SGK1;HIPK1;PAK4
500 genes up-regulated by SARS-CoV-1 in Calu-3 cells from GSE148729 24h	9/438	0.20559097274267893	0.9994686430975551	0	0	1.4039918414918415	2.220927875503145	CLK1;PLK3;NUAK2;RIPK2;PIM1;TLK2;PRKD2;PIM3;CLK4
Top 500 upregulated genes in mouse heart with SARS-CoV-2 infection (Day 7) from GEO GSE162113	9/439	0.20737692023964635	0.9994686430975551	0	0	1.400654069767442	2.203533172931405	LATS1;WNK4;AAK1;ULK1;MARK4;MARK2;MTOR;CAMKK2;CLK2
COVID19-Nsp9 protein host PPI from Krogan	1/16	0.2129565170625368	0.9994686430975551	0	0	4.434234234234234	6.8582849991057975	NEK9
SARS coronavirus hypothetical protein sars9b from Virus-Host PPI P-HIPSTer 2020	1/16	0.2129565170625368	0.9994686430975551	0	0	4.434234234234234	6.8582849991057975	ATM
630 genes downregulated by cystine and theanine in IAV-infected mouse spleen	10/504	0.21825507115479675	0.9994686430975551	0	0	1.3548646475475743	2.0622270816666557	SRPK2;SNRK;TBK1;CDK4;DYRK1A;AKT1;PIM3;SGK1;MARK2;CLK2
Top 500 down genes for SARS-CoV-2 infection in Mesocricetus auratus hamster blood Day 5 from GSE162208	8/387	0.21909807443268348	0.9994686430975551	0	0	1.4113995124667902	2.1428372975000443	GRK1;NEK9;PINK1;RIPK3;IRAK1;PRKD3;MTOR;CDKL1
332 proteins enriched in  AP-MS using various SARS-CoV-2 proteins as bait from Gordon et al. (2020)	7/331	0.223041487478269	0.9994686430975551	0	0	1.4437313750532141	2.1661709202795985	BCKDK;NEK9;TBK1;RIPK1;MARK3;MARK2;MARK1
COVID19-All 332 protein host PPI from Krogan	7/331	0.223041487478269	0.9994686430975551	0	0	1.4437313750532141	2.1661709202795985	BCKDK;NEK9;TBK1;RIPK1;MARK3;MARK2;MARK1
Top 500 down genes for SARS-CoV-2 infection Day 2 in ferret right cranial lung from GSE160824	8/392	0.22901795572874842	0.9994686430975551	0	0	1.392661476355248	2.0527201642292967	CLK1;GSK3B;HUNK;BRAF;ATM;CLK4;ACVR2B;TTBK2
499 genes up-regulated by SARS-CoV-2 in Calu-3 cells from GSE148729	8/395	0.23504655457170787	0.9994686430975551	0	0	1.3816510644385434	2.000591612807435	PLK3;NUAK1;SMG1;GSK3A;WNK1;CAMK4;DYRK1B;HIPK2
Top 500 down genes for SARS-CoV-2 infection in Rhesus macaques at Group 3 dose in PBMCs at 1 DPI from GSE156701	9/456	0.2386665357708665	0.9994686430975551	0	0	1.3461968680089484	1.9286800299608335	PLK4;PLK3;DYRK3;NUAK2;BMPR2;NEK4;ACVR2B;CDK16;CDKL1
Top 500 down genes for SARS-CoV-2 infection Day 14 in ferret nasal turbinates from GSE160824	8/397	0.23909632552099852	0.9994686430975551	0	0	1.3744051378301207	1.966620880717956	CDK17;CDK8;SNRK;PLK2;LRRK2;PRKD1;CLK4;ATR
Top 500 down genes for SARS-CoV-2 infection in Rhesus macaques at Group 3 dose in PBMCs at 14 DPI from GSE156701	9/459	0.24435820663272337	0.9994686430975551	0	0	1.337013888888889	1.8840131050567945	TBK1;NUAK2;IRAK1;RIPK2;PIM3;IRAK4;SGK1;RAF1;TGFBR1
178 positive hits from CRISPR screen of Heaton et al. in A549-ACE2 cells	4/170	0.24644689884000118	0.9994686430975551	0	0	1.606727250298121	2.250396212264253	ATM;CDK14;PDK1;SRPK1
SARS coronavirus nsp3-pp1a/pp1ab (gene: orf1ab) from Virus-Host PPI P-HIPSTer 2020	3/116	0.24796803896077946	0.9994686430975551	0	0	1.7690084883510926	2.4668034680272175	BRAF;ATM;JAK1
Top 500 up genes for SARS-CoV-2 infection in Rhesus macaques at Group 2 dose in PBMCs at 7 DPI from GSE156701	9/461	0.2481788066402294	0.9994686430975551	0	0	1.3309596238938053	1.8548330488844658	PLK4;PLK1;PBK;CDK1;NEK2;TTK;BUB1;MTOR;PDK1
Top 500 upregulated genes in mouse liver with SARS-CoV-2 infection (Day 3) from GEO GSE162113	8/402	0.24932380585203298	0.9994686430975551	0	0	1.3566121581508088	1.8843380892097532	CDK19;RIPK3;RIPK2;CDK1;HUNK;NEK2;MTOR;TGFBR2
Top 500 up genes for SARS-CoV-2 infection in Rhesus macaques at Group 3 dose in Bronchoalveolar Lavage at 4 DPI from GSE156701	9/462	0.2500967696085871	0.9994686430975551	0	0	1.3279525386313467	1.8404191938076473	PLK4;MELK;BMPR2;RIPK3;IRAK1;PBK;CDK1;TTK;BUB1
SARS Perturbation 430 Up Genes from GEN3VA Mouse Lung; Accession: GSE68820 Platform: GPL7202 Entry 3	8/404	0.2534544112762723	0.9994686430975551	0	0	1.3496207752263116	1.8524507545081754	MELK;PLK1;PBK;AAK1;CDK1;TTK;PASK;MASTL
500 genes up-regulated by MERS-CoV in Calu-3 cells from GSE139516 24h	9/466	0.2578182714888221	0.9994686430975551	0	0	1.3160557986870898	1.783914051418835	CDK17;CLK1;SNRK;PLK2;DYRK1A;NEK1;RAF1;HIPK3;TGFBR2
Top 500 up genes for SARS-CoV-2 infection in Rhesus macaques at Group 2 dose in Bronchoalveolar Lavage at 10 DPI from GSE156701	9/470	0.2656162294201949	0.9994686430975551	0	0	1.3043655097613882	1.7292009543854971	PLK4;MELK;MYO3B;PLK1;PBK;CDK1;NEK2;TTK;BUB1
Top 500 up genes for SARS-CoV-2 infection in Rhesus macaques at Group 1 dose in Bronchoalveolar Lavage at 7 DPI from GSE156701	9/472	0.26954262490237685	0.9994686430975551	0	0	1.298596112311015	1.70249682260187	PLK4;MELK;MYO3B;PLK1;PBK;CDK1;NEK2;TTK;BUB1
Top 500 up genes for SARS-CoV-2 infection in Rhesus macaques at Group 3 dose in Bronchoalveolar Lavage at 10 DPI from GSE156701	9/472	0.26954262490237685	0.9994686430975551	0	0	1.298596112311015	1.70249682260187	PLK4;MELK;RIPK3;PLK1;PBK;CDK1;NEK2;TTK;BUB1
SARS-CoV perturbation; 162 Down Genes from GEN3VA; Human Vero E6 cells; Accession: GSE30589 Platform: GPL570 Entry 5	3/122	0.2719596555675665	0.9994686430975551	0	0	1.6793002915451896	2.1866195105324313	SRPK3;NLK;SGK1
184 proteins up-regualated at 0h in SARS-CoV-2 infected cells from Bouhaddou et al. 2020	4/182	0.28568632546978845	0.9994686430975551	0	0	1.4974882079993865	1.8761443253886174	PLK1;PRKD2;CDK13;CDK14
SARS-CoV perturbation; 23 Up Genes from GEN3VA; Human Vero E6 cells; Accession: GSE30589 Platform: GPL570 Entry 4	1/23	0.2912847955518935	0.9994686430975551	0	0	3.0222665847665846	3.727826238446421	PIM3
500 genes up-regulated by SARS-CoV-2 in human Calu3 cells at 4h from GSE148729 mock totalRNA	9/487	0.29951627376090656	0.9994686430975551	0	0	1.256864539748954	1.51525895472227	PLK3;NUAK1;SMG1;GSK3A;PHKG1;WNK1;CAMK4;HUNK;HIPK2
SARS-CoV perturbation; 269 Down Genes from GEN3VA; Human Vero E6 cells; Accession: GSE30589 Platform: GPL570 Entry 6	5/246	0.3028010574957384	0.9994686430975551	0	0	1.3827942931847894	1.6519956698763043	MELK;PBK;CDK1;CDC7;VRK1
500 genes down-regulated by SARS-CoV-2 in human Caco2 cells at 4h from GSE148729 untreated	9/491	0.3076487438368098	0.9994686430975551	0	0	1.2461747925311204	1.468986594603575	NEK9;CDK19;CDKL5;CDK6;DAPK1;PAK6;NEK2;BUB1;CAMK2G
Top 500 up genes for SARS-CoV-2 late-stage infection in human male blood from GSE161731	9/496	0.3178852012092271	0.9994686430975551	0	0	1.23305954825462	1.4131663466147513	GSK3A;PINK1;IRAK1;AKT2;DAPK3;GRK6;PIM1;DYRK1B;PKN1
Top 500 down genes for SARS-CoV-2 early infection in human male blood from GSE161731	9/497	0.31994128712535247	0.9994686430975551	0	0	1.23046875	1.4022640624728793	CLK1;SMG1;SLK;LRRK2;BRAF;ATM;PKN2;CLK4;HIPK3
Top 500 down genes for SARS-CoV-2 infection in Rhesus macaques at Group 2 dose in Bronchoalveolar Lavage at 1 DPI from GSE156701	8/438	0.32647930127035696	0.9994686430975551	0	0	1.2407177919047236	1.388845510984145	CLK1;DAPK2;CAMK4;CDK2;CDK12;PIM2;TNIK;PAK3
Top 500 downregulated genes in mouse heart with SARS-CoV-2 infection from GEO GSE162113	8/438	0.32647930127035696	0.9994686430975551	0	0	1.2407177919047236	1.388845510984145	CAMK2B;NUAK1;DYRK2;GRK5;CDK10;PRKD2;CAMKK1;MARK2
Top 500 down genes for SARS-CoV-2 infection Day 7 in ferret right caudal lung from GSE160824	8/440	0.3309033655468605	0.9994686430975551	0	0	1.2348455722158145	1.3656513969760669	CDK17;ROCK2;AKT3;NEK7;NEK1;PKN2;CDK14;CLK4
